,pos,words
1,word not found,sein
2,word not found,ein
3,word not found,werden
4,word not found,von
5,word not found,mit
6,word not found,der
7,word not found,haben
8,,im
9,word not found,fuer
10,Pronomen,sich
11,word not found,auf
12,word not found,zu
13,word not found,an
14,word not found,nicht
15,word not found,es
16,word not found,auch
17,Pronomen,er
18,word not found,als
19,word not found,zu
20,Präposition,bei
21,word not found,sein
22,Pronomen,sie
23,Pronomen,dies
24,word not found,ein
25,unregelmäßiges Verb,koennen
26,word not found,nach
27,Konjunktion,dass
28,word not found,ihr
29,word not found,zu
30,word not found,aus
31,word not found,jahr
32,Pronomen,ich
33,word not found,so
34,word not found,noch
35,,zum
36,word not found,alle
37,Pronomen,wir
38,word not found,ein
39,word not found,nur
40,word not found,ueber
41,,am
42,unregelmäßiges Verb,sollen
43,Konjunktion,oder
44,word not found,vor
45,unregelmäßiges Verb,muessen
46,word not found,uhr
47,starkes Verb,geben
48,,zur
49,Adjektiv,neu
50,word not found,man
51,Pronomen,kein
52,word not found,aber
53,word not found,wie
54,schwaches Verb,sagen
55,Adjektiv,gut
56,word not found,durch
57,word not found,um
58,starkes Verb,kommen
59,word not found,erst
60,word not found,wollen
61,Adjektiv,grosz
62,Konjunktion,wenn
63,Pronomen und Zahlwort,andere
64,word not found,gegen
65,word not found,bis
66,unregelmäßiges Verb,gehen
67,word not found,um
68,word not found,wie
69,word not found,mehr
70,,vom
71,word not found,schon
72,schwaches Verb,machen
73,word not found,bis
74,word not found,bis
75,Adverb,dann
76,Zahlwort,zwei
77,Adverb,wieder
78,unregelmäßiges Verb,stehen
79,word not found,viel
80,Adjektiv,weit
81,word not found,aber
82,word not found,an
83,,beim
84,word not found,was
85,starkes Verb,sehen
86,Adjektiv,deutsch
87,word not found,immer
88,word not found,doch
89,starkes Verb,finden
90,word not found,unter
91,word not found,prozent
92,Zahlwort,drei
93,word not found,da
94,starkes Verb,lassen
95,word not found,jede
96,Präposition,zeit
97,word not found,zwischen
98,word not found,kind
99,Adverb,hier
100,word not found,seit
101,Adverb,bereits
102,word not found,vor
103,word not found,euro
104,word not found,tag
105,Pronomen und Zahlwort,beide
106,Adverb,heute
107,Adjektiv,alt
108,word not found,nun
109,word not found,damit
110,starkes Verb,bleiben
111,word not found,jetzt
112,Adverb,sehr
113,Adverb,dabei
114,starkes Verb,liegen
115,Pronomen,frau
116,word not found,mensch
117,word not found,stadt
118,word not found,unser
119,word not found,land
120,schwaches Verb,stellen
121,Konjunktion,sowie
122,word not found,ab
123,word not found,hoch
124,Pronomen,sie
125,starkes Verb,nehmen
126,Adjektiv,letzte
127,word not found,mann
128,word not found,unter
129,Konjunktion,weil
130,Adjektiv,klein
131,schwaches Verb,zeigen
132,unregelmäßiges Verb,duerfen
133,Zahlwort,zweite
134,word not found,denn
135,word not found,ohne
136,word not found,lang
137,word not found,etwa
138,Adjektiv,ganz
139,,ins
140,word not found,erst
141,word not found,mein
142,starkes Verb,halten
143,Adverb,dort
144,word not found,ende
145,word not found,sondern
146,schwaches Verb,spielen
147,unregelmäßiges Verb,bringen
148,word not found,nach
149,schwaches Verb,fuehren
150,Adjektiv,jung
151,,uns
152,Adjektiv,eigen
153,word not found,seit
154,word not found,woche
155,word not found,ein
156,Zahlwort,vier
157,word not found,doch
158,word not found,wo
159,word not found,einmal
160,word not found,platz
161,Pronomen und Zahlwort,einige
162,word not found,mehr
163,Adverb,dazu
164,word not found,spiel
165,word not found,seite
166,word not found,wer
167,word not found,haus
168,word not found,allerdings
169,Präposition,wegen
170,,ihm
171,word not found,wenig
172,word not found,jedoch
173,Adjektiv,ganz
174,word not found,ob
175,Partikel,ja
176,word not found,sonntag
177,Adjektiv,stark
178,word not found,samstag
179,Partikel,selbst
180,schwaches Verb,leben
181,Pronomen,nichts
182,starkes Verb,beginnen
183,starkes Verb,erhalten
184,Pronomen,du
185,word not found,heiszen
186,Adverb,gestern
187,schwaches Verb,gehoeren
188,word not found,million
189,Adjektiv,wichtig
190,Adverb,dafuer
191,word not found,mark
192,word not found,frage
193,Adjektiv,kurz
194,word not found,teil
195,Adverb,zwar
196,word not found,arbeit
197,word not found,bild
198,Zahlwort,fuenf
199,word not found,welch
200,starkes Verb,sprechen
201,unregelmäßiges Verb,wissen
202,word not found,also
203,,zweit
204,schwaches Verb,setzen
205,word not found,rund
206,word not found,vergangen
207,word not found,fall
208,schwaches Verb,erklaeren
209,word not found,gleich
210,Adjektiv,jaehrig
211,,ihn
212,word not found,da
213,Adverb,fast
214,word not found,gemeinde
215,unregelmäßiges Verb,nennen
216,word not found,mai
217,starkes Verb,gewinnen
218,word not found,was
219,word not found,ab
220,word not found,weg
221,word not found,tun
222,word not found,thema
223,word not found,geschichte
224,word not found,welt
225,word not found,fuer
226,Adverb,mal
227,word not found,solch
228,Adjektiv,spaet
229,word not found,frueh
230,unregelmäßiges Verb,moegen
231,Adjektiv,moeglich
232,word not found,mitglied
233,word not found,strasze
234,word not found,monat
235,Adjektiv,schwer
236,starkes Verb,gelten
237,word not found,einfach
238,word not found,grund
239,word not found,freitag
240,Pronomen,etwas
241,word not found,name
242,word not found,artikel
243,starkes Verb,bieten
244,Adjektiv,politisch
245,word not found,punkt
246,word not found,nah
247,Adjektiv,gemeinsam
248,Präposition,neben
249,word not found,verein
250,word not found,minute
